artist_name,song_id,pop,comment
,,,
林俊杰,108485,100,145866
,,,
林俊杰,2041026502,100,79131
,,,
林俊杰,108914,100,151356
,,,
林俊杰,108251,100,91739
,,,
林俊杰,108493,100,154329
,,,
林俊杰,29814898,100,240400
,,,
林俊杰,1391477429,100,110597
,,,
林俊杰,108931,100,97216
,,,
林俊杰,25727803,100,201794
,,,
林俊杰,108263,100,56439
,,,
林俊杰,108463,100,63268
,,,
林俊杰,108406,100,54167
,,,
林俊杰,2019573476,100,76775
,,,
林俊杰,29774171,100,135783
,,,
林俊杰,108138,100,124960
,,,
林俊杰,108134,100,101640
,,,
林俊杰,108242,100,127761
,,,
林俊杰,1366053680,100,17936
,,,
林俊杰,29850683,100,65531
,,,
林俊杰,26305547,100,34431
,,,
林俊杰,29848657,100,46064
,,,
林俊杰,1468115100,100,34204
,,,
林俊杰,25794009,100,78948
,,,
林俊杰,108245,100,43273
,,,
林俊杰,108795,100,49400
,,,
林俊杰,1804879213,100,192734
,,,
林俊杰,108478,100,127323
,,,
林俊杰,108267,100,13141
,,,
林俊杰,108810,100,27048
,,,
林俊杰,108428,100,42392
,,,
林俊杰,440207933,100,84235
,,,
林俊杰,2019562367,100,14966
,,,
林俊杰,26305541,100,17620
,,,
林俊杰,554242032,100,60079
,,,
林俊杰,108965,100,19364
,,,
林俊杰,108886,100,34567
,,,
林俊杰,450222687,100,14603
,,,
林俊杰,108473,100,11439
,,,
林俊杰,108254,100,16285
,,,
林俊杰,26305544,100,6568
,,,
林俊杰,108248,100,15510
,,,
林俊杰,108269,100,34264
,,,
林俊杰,453491018,100,4154
,,,
林俊杰,2659883777,100,7964
,,,
林俊杰,108543,100,48728
,,,
林俊杰,2039156375,100,6660
,,,
林俊杰,26305545,100,18461
,,,
林俊杰,2019574451,100,12184
,,,
林俊杰,108910,100,18307
,,,
林俊杰,1479003964,100,100018
,,,
陈奕迅,64093,100,393654
,,,
陈奕迅,65766,100,247738
,,,
陈奕迅,25730757,100,230103
,,,
陈奕迅,65528,100,165072
,,,
陈奕迅,65800,100,198851
,,,
陈奕迅,65536,100,157731
,,,
陈奕迅,25906124,100,167736
,,,
陈奕迅,66842,100,119295
,,,
陈奕迅,409931770,100,23315
,,,
陈奕迅,65538,100,259634
,,,
陈奕迅,28563317,100,152768
,,,
陈奕迅,66285,100,133483
,,,
陈奕迅,1901371647,100,310535
,,,
陈奕迅,65592,100,25537
,,,
陈奕迅,65533,100,110842
,,,
陈奕迅,64317,100,64969
,,,
陈奕迅,66282,100,41438
,,,
陈奕迅,35403523,100,134326
,,,
陈奕迅,473194652,100,27887
,,,
陈奕迅,64293,100,58573
,,,
陈奕迅,64922,100,46335
,,,
陈奕迅,67467,100,10311
,,,
陈奕迅,64638,100,25566
,,,
陈奕迅,64126,100,34966
,,,
陈奕迅,64634,100,69575
,,,
陈奕迅,66823,100,9963
,,,
陈奕迅,65952,100,29879
,,,
陈奕迅,65761,100,26141
,,,
陈奕迅,27483202,100,28779
,,,
陈奕迅,65540,100,11309
,,,
陈奕迅,64625,100,28962
,,,
陈奕迅,1496602290,100,88090
,,,
陈奕迅,65778,100,16837
,,,
陈奕迅,551816010,100,336822
,,,
陈奕迅,27483203,100,39418
,,,
陈奕迅,27867449,100,49325
,,,
陈奕迅,28481818,100,81034
,,,
陈奕迅,65769,100,39837
,,,
陈奕迅,1323304980,100,14567
,,,
陈奕迅,64833,100,27354
,,,
陈奕迅,64699,100,22837
,,,
陈奕迅,66841,100,12875
,,,
陈奕迅,64797,100,36421
,,,
陈奕迅,64048,100,27608
,,,
陈奕迅,28481103,100,70473
,,,
陈奕迅,65355,100,60099
,,,
陈奕迅,28481104,100,18072
,,,
陈奕迅,65334,100,12197
,,,
陈奕迅,438801672,100,53287
,,,
陈奕迅,64443,100,51294
,,,
郑润泽,1303464858,100,830391
,,,
郑润泽,1406083061,100,346206
,,,
郑润泽,1842728629,100,621753
,,,
郑润泽,2063864551,100,486502
,,,
郑润泽,1926623288,100,333944
,,,
郑润泽,2025186889,100,132561
,,,
郑润泽,2018733994,100,187408
,,,
郑润泽,1345571065,100,29686
,,,
郑润泽,1996909642,100,115578
,,,
郑润泽,2080177728,100,66573
,,,
郑润泽,1983761233,100,32614
,,,
郑润泽,2024035483,100,76233
,,,
郑润泽,2105435473,100,77057
,,,
